Name,Director,Year,Rating,Rewatch,Tags,Watched Date
The Innocents,Jack Clayton,1961,4,,,10/7/21
The Invisible Man,Leigh Whannell,2020,,,,3/3/20
The Killing of a Sacred Deer,Yorgos Lanthimos,2017,4.5,,,8/17/21
The King of Comedy,Martin Scorsese,1982,,,,6/25/21
The Last Temptation of Christ,Martin Scorsese,1988,4,,,8/30/21
The Lego Movie,"Phil Lord, Christopher Miller",2014,,,,1/7/15
The Life Aquatic with Steve Zissou,Wes Anderson,2004,4,,,7/26/21
The Lighthouse,Robert Eggers,2019,5,Yes,,10/15/21
The Lobster,Yorgos Lanthimos,2015,4.5,,,9/22/21
The Lost Boys,Joel Schumacher,1987,3,,,10/2/21
The Lost Daughter,Maggie Gyllenhaal,2021,3.5,,,3/23/22
The Man Who Wasn't There,"Joel Coen, Ethan Coen",2001,,,,8/1/21
The Martian,Ridley Scott,2015,,,,10/11/15
The Master,Paul Thomas Anderson,2012,,,,6/12/15
The Matrix,"Lilly Wachowski, Lana Wachowski",1999,,,,1/13/15
The Meyerowitz Stories (New and Selected),Noah Baumbach,2017,3.5,,,8/16/21
The Nice Guys,Shane Black,2016,3.5,,,4/10/22
The Naked Gun: From the Files of Police Squad!,David Zucker,1988,,,,4/3/15
The Night of the Hunter,Charles Laughton,1955,4.5,,,10/23/21
The Power of the Dog,Jane Campion,2021,4.5,,,12/2/21
The Raid,Gareth Evans,2011,,,,2/24/16
The Revenant,Alejandro Gonzalez Innaritu,2015,,,,1/14/16
The Room,Tommy Wiseau,2003,,,,1/7/15
The Rover,David Michod,2014,,,,2/3/16
The Shawshank Redemption,Frank Darabont,1994,,,,1/6/15
The Shining,Stanley Kubrick,1980,,,,4/12/15
The Shining,Stanley Kubrick,1980,5,Yes,,10/22/21
The Silence of the Lambs,Jonathan Demme,1991,,,,2/14/15
The Sixth Sense,M. Night Shyamalan,1999,,,,1/11/15
The Suicide Squad,James Gunn,2021,4,,,8/7/21
The Texas Chain Saw Massacre,Tobe Hooper,1974,4,,,5/31/21
The Thing,John Carpenter,1982,4.5,,,10/1/21
The Tragedy of Macbeth,Joel Coen,2021,3.5,,,3/21/22
The Trial of the Chicago 7,Aaron Sorkin,2020,,,,4/11/21
The Usual Suspects,Bryan Singer,1995,,,,1/6/15
The Virgin Suicides,Sofia Coppola,1999,3,,,9/24/21
The War of the Roses,Danny DeVito,1989,,,,8/8/15
The White Tiger,Ramin Bahrani,2021,,,,4/22/21
The Wicker Man,Robin Hardy,1973,4,,,7/27/21
The Witch,Robert Eggers,2015,,,,5/11/21
The Wolf of Wall Street,Martin Scorsese,2013,,,,2/28/15
The World's End,Edgar Wright,2013,4,,,6/27/21
The Worst Person in the World,Joachim Trier,2021,4.5,,,3/25/22
There Will Be Blood,Paul Thomas Anderson,2007,,,,2/1/15
This Is Spinal Tap,Rob Reiner,1984,,,,8/3/15
Thor,Kenneth Branagh,2011,2.5,,,7/31/21
Thor: Ragnarok,Taika Waititi,2017,4.5,,,8/14/21
Tinker Tailor Soldier Spy,Tomas Alfredson,2011,,,,7/27/21
Titane,Julia Ducournau,2021,4.5,,,9/30/21
Titanic,James Cameron,1997,,,,5/13/15
Toto,John Paul Su,2015,3,,,11/19/21
Train to Busan,Yeon Sang-ho,2016,4,,,9/26/21
Training Day,Antoine Fuqua,2001,4,,,12/12/21
Trainspotting,Danny Boyle,1996,,,,3/13/15
True Romance,Tony Scott,1993,,,,6/10/15
Tusk,Kevin Smith,2014,3,,,10/19/21
